page,text,font,size,origin_x,origin_y,bbox
1,East Lothian Council ,Verdana-Bold,14.039999961853027,217.85000610351562,49.55999755859375,"(217.85000610351562, 35.44458770751953, 382.3888244628906, 52.507850646972656)"
1, ,Verdana-Bold,14.039999961853027,297.6499938964844,66.5999755859375,"(297.6499938964844, 52.48456573486328, 302.4488220214844, 69.5478286743164)"
1,FOI Ref: 2024/ELF14849 ,Verdana-Bold,14.039999961853027,199.25,83.51995849609375,"(199.25, 69.40454864501953, 400.98883056640625, 86.46781158447266)"
1, ,Calibri,11.039999961853027,72.02400207519531,96.8599853515625,"(72.02400207519531, 88.57998657226562, 74.51985931396484, 99.61998748779297)"
1, ,Calibri,11.039999961853027,72.02400207519531,803.615966796875,"(72.02400207519531, 795.3359375, 74.51985931396484, 806.3759765625)"
1,Please can you supply me with the following information? ,Verdana-BoldItalic,12.0,72.02400207519531,111.97998046875,"(72.02400207519531, 99.91552734375, 466.92156982421875, 114.49951171875)"
1,  ,Verdana-BoldItalic,12.0,72.02400207519531,126.5,"(72.02400207519531, 114.435546875, 80.20555877685547, 129.01953125)"
1,Registration number: ,Verdana-BoldItalic,12.0,72.02400207519531,141.13995361328125,"(72.02400207519531, 129.07550048828125, 219.91156005859375, 143.65948486328125)"
1,Make: ,Verdana-BoldItalic,12.0,72.02400207519531,155.65997314453125,"(72.02400207519531, 143.59552001953125, 116.32156372070312, 158.17950439453125)"
1,Model: ,Verdana-BoldItalic,12.0,72.02400207519531,170.29998779296875,"(72.02400207519531, 158.23553466796875, 121.0015640258789, 172.81951904296875)"
1,  ,Verdana-BoldItalic,12.0,72.02400207519531,184.82000732421875,"(72.02400207519531, 172.75555419921875, 80.20555877685547, 187.33953857421875)"
1,"of all vehicles registered as a Taxi, Hackney Carriage or for Private ",Verdana-BoldItalic,12.0,72.02400207519531,199.4599609375,"(72.02400207519531, 187.3955078125, 526.58154296875, 201.9794921875)"
1,Hire between 22nd November 2023 and 31,Verdana-BoldItalic,12.0,72.02400207519531,214.0999755859375,"(72.02400207519531, 202.0355224609375, 362.039306640625, 216.6195068359375)"
1,st,Verdana-BoldItalic,8.039999961853027,362.1099853515625,210.13995361328125,"(362.1099853515625, 202.0567626953125, 370.57275390625, 211.82803344726562)"
1, March 2024 within ,Verdana-BoldItalic,12.0,370.6300048828125,214.0999755859375,"(370.6300048828125, 202.0355224609375, 504.4515686035156, 216.6195068359375)"
1,your Council. ,Verdana-BoldItalic,12.0,72.02400207519531,228.6199951171875,"(72.02400207519531, 216.5555419921875, 164.44155883789062, 231.1395263671875)"
1, ,Verdana,12.0,72.02400207519531,243.260009765625,"(72.02400207519531, 231.195556640625, 76.24275207519531, 245.779541015625)"
1,GF16 HJE ,Verdana,12.0,77.66400146484375,267.5,"(77.66400146484375, 255.435546875, 139.5987548828125, 270.01953125)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,267.5,"(171.6199951171875, 255.435546875, 227.3487548828125, 270.01953125)"
1,Octavia S TDi ,Verdana,12.0,272.69000244140625,267.5,"(272.69000244140625, 255.435546875, 358.76873779296875, 270.01953125)"
1,DL15 XXT ,Verdana,12.0,77.66400146484375,282.52996826171875,"(77.66400146484375, 270.46551513671875, 141.15875244140625, 285.04949951171875)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,282.52996826171875,"(171.6199951171875, 270.46551513671875, 227.3487548828125, 285.04949951171875)"
1,Astra ,Verdana,12.0,272.69000244140625,282.52996826171875,"(272.69000244140625, 270.46551513671875, 308.46875, 285.04949951171875)"
1,CP17 YXJ ,Verdana,12.0,77.66400146484375,297.64996337890625,"(77.66400146484375, 285.58551025390625, 138.03875732421875, 300.16949462890625)"
1,FORD ,Verdana,12.0,171.6199951171875,297.64996337890625,"(171.6199951171875, 285.58551025390625, 209.82875061035156, 300.16949462890625)"
1,TRANSIT ,Verdana,12.0,272.69000244140625,297.64996337890625,"(272.69000244140625, 285.58551025390625, 330.4287414550781, 300.16949462890625)"
1,MM70 JBV ,Verdana,12.0,77.66400146484375,312.76995849609375,"(77.66400146484375, 300.70550537109375, 143.43875122070312, 315.28948974609375)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,312.76995849609375,"(171.6199951171875, 300.70550537109375, 227.3487548828125, 315.28948974609375)"
1,Corsa ,Verdana,12.0,272.69000244140625,312.76995849609375,"(272.69000244140625, 300.70550537109375, 311.1087646484375, 315.28948974609375)"
1,GD66 OMC ,Verdana,12.0,77.66400146484375,327.76995849609375,"(77.66400146484375, 315.70550537109375, 147.87875366210938, 330.28948974609375)"
1,Skoda ,Verdana,12.0,171.6199951171875,327.76995849609375,"(171.6199951171875, 315.70550537109375, 213.18875122070312, 330.28948974609375)"
1,Octavia Estate ,Verdana,12.0,272.69000244140625,327.76995849609375,"(272.69000244140625, 315.70550537109375, 364.0487365722656, 330.28948974609375)"
1,YE66 UJC ,Verdana,12.0,77.66400146484375,357.52996826171875,"(77.66400146484375, 345.46551513671875, 138.99874877929688, 360.04949951171875)"
1,Renault ,Verdana,12.0,171.6199951171875,357.52996826171875,"(171.6199951171875, 345.46551513671875, 221.82875061035156, 360.04949951171875)"
1,Trafic LL29 Sport Energy ,Verdana,12.0,272.69000244140625,342.8899841308594,"(272.69000244140625, 330.8255310058594, 426.48876953125, 345.4095153808594)"
1,DCI ,Verdana,12.0,272.69000244140625,357.52996826171875,"(272.69000244140625, 345.46551513671875, 299.5887451171875, 360.04949951171875)"
1,NK17 DMZ ,Verdana,12.0,77.66400146484375,372.52996826171875,"(77.66400146484375, 360.46551513671875, 146.19874572753906, 375.04949951171875)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,372.52996826171875,"(171.6199951171875, 360.46551513671875, 227.3487548828125, 375.04949951171875)"
1,Vivaro Combi ,Verdana,12.0,272.69000244140625,372.52996826171875,"(272.69000244140625, 360.46551513671875, 357.4487609863281, 375.04949951171875)"
1,WF71 EXU ,Verdana,12.0,77.66400146484375,387.6499938964844,"(77.66400146484375, 375.5855407714844, 144.7587432861328, 390.1695251464844)"
1,Hyundai ,Verdana,12.0,171.6199951171875,387.6499938964844,"(171.6199951171875, 375.5855407714844, 225.18875122070312, 390.1695251464844)"
1,IONiQ PREMIUM HEV S-A ,Verdana,12.0,272.69000244140625,387.6499938964844,"(272.69000244140625, 375.5855407714844, 429.6887512207031, 390.1695251464844)"
1,SC21 WHH ,Verdana,12.0,77.66400146484375,402.7699890136719,"(77.66400146484375, 390.7055358886719, 147.87875366210938, 405.2895202636719)"
1,Toyota ,Verdana,12.0,171.6199951171875,402.7699890136719,"(171.6199951171875, 390.7055358886719, 216.90875244140625, 405.2895202636719)"
1,Corolla ,Verdana,12.0,272.69000244140625,402.7699890136719,"(272.69000244140625, 390.7055358886719, 318.78875732421875, 405.2895202636719)"
1,FP15 RDY ,Verdana,12.0,77.66400146484375,417.7699890136719,"(77.66400146484375, 405.7055358886719, 140.43875122070312, 420.2895202636719)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,417.7699890136719,"(171.6199951171875, 405.7055358886719, 227.3487548828125, 420.2895202636719)"
1,Astra Tech Line CDTi S/S ,Verdana,12.0,272.69000244140625,417.7699890136719,"(272.69000244140625, 405.7055358886719, 428.6087646484375, 420.2895202636719)"
1,FJ17 XKX ,Verdana,12.0,77.66400146484375,432.8899841308594,"(77.66400146484375, 420.8255310058594, 138.5187530517578, 435.4095153808594)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,432.8899841308594,"(171.6199951171875, 420.8255310058594, 227.3487548828125, 435.4095153808594)"
1,Insignia ,Verdana,12.0,272.69000244140625,432.8899841308594,"(272.69000244140625, 420.8255310058594, 324.66876220703125, 435.4095153808594)"
1,FN65 OYW ,Verdana,12.0,77.66400146484375,462.52996826171875,"(77.66400146484375, 450.46551513671875, 145.95875549316406, 465.04949951171875)"
1,Vauxhall ,Verdana,12.0,171.6199951171875,462.52996826171875,"(171.6199951171875, 450.46551513671875, 227.3487548828125, 465.04949951171875)"
1,Astra Tech Line CDTI ,Verdana,12.0,272.69000244140625,448.0099792480469,"(272.69000244140625, 435.9455261230469, 404.1928405761719, 450.5295104980469)"
1,S/S ,Verdana,12.0,272.69000244140625,462.52996826171875,"(272.69000244140625, 450.46551513671875, 298.7487487792969, 465.04949951171875)"
1,T10 TTX ,Verdana,12.0,77.66400146484375,477.66998291015625,"(77.66400146484375, 465.60552978515625, 131.7987518310547, 480.18951416015625)"
1,Mercedes ,Verdana,12.0,171.6199951171875,477.66998291015625,"(171.6199951171875, 465.60552978515625, 232.5087432861328, 480.18951416015625)"
1,E350E SE Premium Auto ,Verdana,12.0,272.69000244140625,477.66998291015625,"(272.69000244140625, 465.60552978515625, 425.0087585449219, 480.18951416015625)"
1,YC71EBJ ,Verdana,12.0,77.66400146484375,507.30999755859375,"(77.66400146484375, 495.24554443359375, 134.19874572753906, 509.82952880859375)"
