,page,origin_x,origin_y,concatenated_text
0,1,217.8500061035156,49.55999755859375,East Lothian Council 
1,1,297.6499938964844,66.5999755859375, 
2,1,199.25,83.51995849609375,FOI Ref: 2024/ELF14849 
3,1,72.02400207519531,96.8599853515625,"  Please can you supply me with the following information?   Registration number: Make: Model:   of all vehicles registered as a Taxi, Hackney Carriage or for Private Hire between 22nd November 2023 and 31"
4,1,362.1099853515625,210.13995361328125,st
5,1,370.6300048828125,214.0999755859375, March 2024 within 
6,1,72.02400207519531,228.6199951171875,your Council.  
7,1,77.66400146484375,267.5,GF16 HJE 
8,1,171.6199951171875,267.5,Vauxhall 
9,1,272.69000244140625,267.5,Octavia S TDi 
10,1,77.66400146484375,282.52996826171875,DL15 XXT 
11,1,171.6199951171875,282.52996826171875,Vauxhall 
12,1,272.69000244140625,282.52996826171875,Astra 
13,1,77.66400146484375,297.64996337890625,CP17 YXJ 
14,1,171.6199951171875,297.64996337890625,FORD 
15,1,272.69000244140625,297.64996337890625,TRANSIT 
16,1,77.66400146484375,312.76995849609375,MM70 JBV 
17,1,171.6199951171875,312.76995849609375,Vauxhall 
18,1,272.69000244140625,312.76995849609375,Corsa 
19,1,77.66400146484375,327.76995849609375,GD66 OMC 
20,1,171.6199951171875,327.76995849609375,Skoda 
21,1,272.69000244140625,327.76995849609375,Octavia Estate 
22,1,77.66400146484375,357.52996826171875,YE66 UJC 
23,1,171.6199951171875,357.52996826171875,Renault 
24,1,272.69000244140625,342.8899841308594,Trafic LL29 Sport Energy DCI 
25,1,77.66400146484375,372.5299682617187,NK17 DMZ 
26,1,171.6199951171875,372.5299682617187,Vauxhall 
27,1,272.69000244140625,372.5299682617187,Vivaro Combi 
28,1,77.66400146484375,387.6499938964844,WF71 EXU 
29,1,171.6199951171875,387.6499938964844,Hyundai 
30,1,272.69000244140625,387.6499938964844,IONiQ PREMIUM HEV S-A 
31,1,77.66400146484375,402.7699890136719,SC21 WHH 
32,1,171.6199951171875,402.7699890136719,Toyota 
33,1,272.69000244140625,402.7699890136719,Corolla 
34,1,77.66400146484375,417.7699890136719,FP15 RDY 
35,1,171.6199951171875,417.7699890136719,Vauxhall 
36,1,272.69000244140625,417.7699890136719,Astra Tech Line CDTi S/S 
37,1,77.66400146484375,432.8899841308594,FJ17 XKX 
38,1,171.6199951171875,432.8899841308594,Vauxhall 
39,1,272.69000244140625,432.8899841308594,Insignia 
40,1,77.66400146484375,462.5299682617187,FN65 OYW 
41,1,171.6199951171875,462.5299682617187,Vauxhall 
42,1,272.69000244140625,448.0099792480469,Astra Tech Line CDTI S/S 
43,1,77.66400146484375,477.66998291015625,T10 TTX 
44,1,171.6199951171875,477.66998291015625,Mercedes 
45,1,272.69000244140625,477.66998291015625,E350E SE Premium Auto 
46,1,77.66400146484375,507.30999755859375,YC71EBJ 
47,1,171.6199951171875,507.30999755859375,Kia 
48,1,272.69000244140625,492.78997802734375,Ceed 2 Nav CRDI ISG MHEV 
49,1,77.66400146484375,522.4299926757812,EGZ 5639 
50,1,171.6199951171875,522.4299926757812,Volkswagen 
51,1,272.69000244140625,522.4299926757812,  
52,1,77.66400146484375,537.5499877929688,YC72 UZR 
53,1,171.6199951171875,537.5499877929688,MG 
54,1,272.69000244140625,537.5499877929688,5 Excite 
55,1,77.66400146484375,552.5499877929688,DP69 ELW 
56,1,171.6199951171875,552.5499877929688,Ford 
57,1,272.69000244140625,552.5499877929688,Tourneo Courier 
58,1,77.66400146484375,567.6699829101562,VN71 YHD 
59,1,171.6199951171875,567.6699829101562,Volkswagon 
60,1,272.69000244140625,567.6699829101562,Caddy 
61,1,77.66400146484375,597.3099975585938,SD15 VPC 
62,1,171.6199951171875,582.7899780273438,Mercedes-Benz 
63,1,272.69000244140625,582.7899780273438,Vito 116 Bluetec Tourer Pro 
64,1,77.66400146484375,612.4299926757812,SB14 BTE 
65,1,171.6199951171875,612.4299926757812,Vauxhall 
66,1,272.69000244140625,612.4299926757812,Zafira Exclusiv 
67,1,77.66400146484375,642.0699462890625,DC21ACS 
68,1,171.6199951171875,627.5499877929688,Mercedes-Benz 
69,1,272.69000244140625,642.0699462890625,Evito Tourer Pro 
70,1,77.66400146484375,657.219970703125,FN65 OYA 
71,1,171.6199951171875,657.219970703125,Vauxhall 
72,1,272.69000244140625,657.219970703125,Astra Tech Line CDTi S/S 
73,1,77.66400146484375,672.3399658203125,T44 GGT 
74,1,171.6199951171875,672.3399658203125,Skoda 
75,1,272.69000244140625,672.3399658203125,Superb 
76,1,77.66400146484375,687.3399658203125,GL17 HRE 
77,1,171.6199951171875,687.3399658203125,Skoda 
78,1,272.69000244140625,687.3399658203125,Superb 
79,1,77.66400146484375,702.4599609375,YR62 HME 
80,1,171.6199951171875,702.4599609375,Vauxhall 
81,1,272.69000244140625,702.4599609375,Zafira Exclusiv 
82,1,77.66400146484375,717.5799560546875,DK69 CXZ 
83,1,171.6199951171875,717.5799560546875,Peugeot 
84,1,272.69000244140625,717.5799560546875,Boxer 
85,1,77.66400146484375,732.5799560546875,NK63 FDJ 
86,1,171.6199951171875,732.5799560546875,Seat 
87,1,272.69000244140625,732.5799560546875,Toledo 
88,1,77.66400146484375,762.3359985351562,NX09 XDS 
89,1,171.6199951171875,762.3359985351562,Vauxhall 
90,1,272.69000244140625,747.6959838867188,Insignia Exclusiv 160 CDTI 
91,2,217.8500061035156,49.55999755859375,East Lothian Council 
92,2,297.6499938964844,66.5999755859375, 
93,2,199.25,83.51995849609375,FOI Ref: 2024/ELF14849 
