,page,origin_x,origin_y,concatenated_text
0,1,52.79999923706055,64.97967529296875,Licence_RefNo
1,1,139.5628662109375,64.97967529296875,Vehicle_Registration
2,1,249.10699462890625,64.97967529296875,Vehicle_Make&Model
3,1,52.79999923706055,79.319580078125,PH0500
4,1,139.57057189941406,79.319580078125,R13 NDR
5,1,249.1234893798828,79.319580078125,Kia Niro
6,1,52.80108642578125,93.65948486328124,PH0501
7,1,139.5716552734375,93.65948486328124,HY18 DWV
8,1,249.1190948486328,93.65948486328124,Mercedes Benz E220d
9,1,52.80218505859375,107.9993896484375,PH0503
10,1,139.57275390625,107.9993896484375,BD69 OGX
11,1,249.12237548828125,107.9993896484375,Skoda Octavia
12,1,52.80216979980469,122.33929443359376,PH0504
13,1,139.57273864746094,122.33929443359376,FN67 KGO
14,1,249.1278381347656,122.33929443359376,Kia Optima
15,1,52.802154541015625,136.67919921875,PH0505
16,1,139.57272338867188,136.67919921875,ST21 GZB
17,1,249.12234497070312,136.67919921875,Skoda Octavia
18,1,52.80213928222656,151.01910400390625,PH0506
19,1,139.5727081298828,151.01910400390625,FG16 WTD
20,1,249.12013244628903,151.01910400390625,Skoda Octavia
21,1,52.80210876464844,165.3590087890625,PH0507
22,1,139.5726776123047,165.3590087890625,SG19 CHD
23,1,249.1168212890625,165.3590087890625,Seat Leon
24,1,52.802093505859375,179.69891357421875,PH0511
25,1,139.57266235351562,179.69891357421875,SD72 MDE
26,1,249.1167907714844,179.69891357421875,Toyota Corolla
27,1,52.80316162109375,194.038818359375,PH0512
28,1,139.57373046875,194.038818359375,NX69 UFY
29,1,249.1200714111328,194.038818359375,Skoda Octavia
30,1,52.80314636230469,208.37872314453125,PH0513
31,1,139.57371520996094,208.37872314453125,BD69 EWK
32,1,249.12991333007812,208.37872314453125,Peugeot 508 Auto Estate
33,1,52.80419921875,222.7186279296875,PH0516
34,1,139.57476806640625,222.7186279296875,KV18 JWY
35,1,249.12660217285156,222.7186279296875,Renault Kadjar
36,1,52.80418395996094,237.05853271484375,PH0517
37,1,139.5747528076172,237.05853271484375,DV72 AXG
38,1,249.12986755371097,237.05853271484375,Toyota Corolla
39,1,52.805267333984375,251.3984375,PH0519
40,1,139.57583618164062,251.3984375,J4 TOA
41,1,249.12545776367188,251.3984375,Skoda Octavia
42,1,52.80525207519531,265.73834228515625,PH0520
43,1,139.57582092285156,265.73834228515625,SH68 LVG
44,1,249.1177673339844,265.73834228515625,Skoda Octavia
45,1,52.80522155761719,280.0782470703125,PH0521
46,1,139.57579040527344,280.0782470703125,SH21 XUN
47,1,249.1342010498047,280.0782470703125,Skoda Octavia
48,1,52.80519104003906,294.41815185546875,PH0526
49,1,139.5757598876953,294.41815185546875,PN20 KXA
50,1,249.1341857910156,294.41815185546875,Volkswagen Passat SE
51,1,52.80633544921875,308.758056640625,PH0530
52,1,139.576904296875,308.758056640625,GM19 MPV
53,1,249.12652587890625,308.758056640625,Skoda Octavia
54,1,52.80632019042969,323.09796142578125,PH0532
55,1,139.57688903808594,323.09796142578125,NX17 UMD
56,1,249.1287078857422,323.09796142578125,Vauxhall Astra
57,1,52.807403564453125,337.4378356933594,PH0536
58,1,139.57797241210938,337.4378356933594,GM21 PYW
59,1,249.12484741210935,337.439697265625,Skoda Kamiq
60,1,52.80021667480469,351.7795715332031,PH0537
61,1,139.57078552246094,351.7795715332031,KAS18 URV
62,1,249.12042236328125,351.7795715332031,Mercedes‐Benz C220
63,1,52.80023193359375,366.1194458007813,PH0538
64,1,139.57080078125,366.1194458007813,DU67 LZM
65,1,249.11273193359375,366.1194458007813,Honda Civic
66,1,52.80021667480469,380.4593200683594,PH0539
67,1,139.57078552246094,380.4593200683594,SY66 VHP
68,1,249.12042236328125,380.4593200683594,Skoda Octavia
69,1,52.80018615722656,394.7991943359375,PH0540
70,1,139.5707550048828,394.7991943359375,EA18 WWZ
71,1,249.124755859375,394.7991943359375,Hyundai Ioniq
72,1,52.80128479003906,409.1390686035156,PH0541
73,1,139.5718536376953,409.1390686035156,FX19 FCM
74,1,249.11380004882812,409.1390686035156,Mercedes‐Benz C220
