page,text,font,size,origin_x,origin_y,bbox
1,LICENSED HACKNEY AND PRIVATE HIRE VEHICLES,Helvetica-Bold,11.99899959564209,30.36199951171875,41.2349853515625,"(30.36199951171875, 28.396055221557617, 333.6966857910156, 44.918678283691406)"
1,LAST REFRESHED 19/04/2024 AT 11:00:25,Helvetica-Bold,11.99899959564209,565.1069946289062,41.2349853515625,"(565.1069946289062, 28.396055221557617, 807.8870239257812, 44.918678283691406)"
1,LICENCE ,Helvetica,8.99899959564209,30.36199951171875,61.29901123046875,"(30.36199951171875, 51.625083923339844, 71.86538696289062, 63.98971176147461)"
1,REF,Helvetica,8.99899959564209,30.36199951171875,71.3070068359375,"(30.36199951171875, 61.633079528808594, 48.36000061035156, 73.99771118164062)"
1,LICENCE ,Helvetica,8.99899959564209,80.5459976196289,61.29901123046875,"(80.5459976196289, 51.625083923339844, 122.04938507080078, 63.98971176147461)"
1,TYPE,Helvetica,8.99899959564209,80.5459976196289,71.3070068359375,"(80.5459976196289, 61.633079528808594, 104.0513916015625, 73.99771118164062)"
1,ISSUE DATE EXPIRY ,Helvetica,8.99899959564209,138.7949981689453,61.29901123046875,"(138.7949981689453, 51.625083923339844, 234.6410675048828, 63.98971176147461)"
1,DATE,Helvetica,8.99899959564209,199.13099670410156,71.3070068359375,"(199.13099670410156, 61.633079528808594, 223.13133239746094, 73.99771118164062)"
1,PLATE ,Helvetica,8.99899959564209,250.1790008544922,61.29901123046875,"(250.1790008544922, 51.625083923339844, 281.18951416015625, 63.98971176147461)"
1,NO,Helvetica,8.99899959564209,250.1790008544922,71.3070068359375,"(250.1790008544922, 61.633079528808594, 263.677490234375, 73.99771118164062)"
1,VEHICLE TYPE,Helvetica,8.99899959564209,287.4750061035156,61.29901123046875,"(287.4750061035156, 51.625083923339844, 351.9887390136719, 63.98971176147461)"
1,REG,Helvetica,8.99899959564209,394.1789855957031,61.29901123046875,"(394.1789855957031, 51.625083923339844, 413.6798095703125, 63.98971176147461)"
1,FUEL TYPE DATE VEHICLE ,Helvetica,8.99899959564209,453.07501220703125,61.29901123046875,"(453.07501220703125, 51.625083923339844, 575.6653442382812, 63.98971176147461)"
1,REGISTERED,Helvetica,8.99899959564209,508.1549987792969,71.3070068359375,"(508.1549987792969, 61.633079528808594, 566.6574096679688, 73.99771118164062)"
1,LICENSED ,Helvetica,8.99899959564209,577.8510131835938,61.29901123046875,"(577.8510131835938, 51.625083923339844, 625.3565673828125, 63.98971176147461)"
1,TO CARRY,Helvetica,8.99899959564209,577.8510131835938,71.3070068359375,"(577.8510131835938, 61.633079528808594, 624.3487548828125, 73.99771118164062)"
1,WHEELCHAIR ,Helvetica,8.99899959564209,634.4429931640625,61.29901123046875,"(634.4429931640625, 51.625083923339844, 696.9408569335938, 63.98971176147461)"
1,ACCESSIBLE,Helvetica,8.99899959564209,634.4429931640625,71.3070068359375,"(634.4429931640625, 61.633079528808594, 690.95654296875, 73.99771118164062)"
1,TAILGATE ,Helvetica,8.99899959564209,707.3070068359375,61.29901123046875,"(707.3070068359375, 51.625083923339844, 753.31884765625, 63.98971176147461)"
1,LIFT,Helvetica,8.99899959564209,707.3070068359375,71.3070068359375,"(707.3070068359375, 61.633079528808594, 725.8089599609375, 73.99771118164062)"
1,EXECUTIVE,Helvetica,8.99899959564209,758.6430053710938,61.29901123046875,"(758.6430053710938, 51.625083923339844, 809.6492309570312, 63.98971176147461)"
1,110684,Helvetica,8.99899959564209,30.36199951171875,85.27499389648438,"(30.36199951171875, 75.60106658935547, 60.382667541503906, 87.9656982421875)"
1,HACKNEY,Helvetica,8.99899959564209,80.5459976196289,85.27499389648438,"(80.5459976196289, 75.60106658935547, 124.04716491699219, 87.9656982421875)"
1,11/04/2024,Helvetica,8.99899959564209,138.7949981689453,85.27499389648438,"(138.7949981689453, 75.60106658935547, 183.82603454589844, 87.9656982421875)"
1,01/05/2025  2,Helvetica,8.99899959564209,199.13099670410156,85.27499389648438,"(199.13099670410156, 75.60106658935547, 257.6841735839844, 87.9656982421875)"
1,LTI TX4,Helvetica,8.99899959564209,287.4750061035156,85.27499389648438,"(287.4750061035156, 75.60106658935547, 319.4844055175781, 87.9656982421875)"
1,MK10 SWW,Helvetica,8.99899959564209,394.1789855957031,85.27499389648438,"(394.1789855957031, 75.60106658935547, 443.1784973144531, 87.9656982421875)"
1,DIESEL,Helvetica,8.99899959564209,453.07501220703125,85.27499389648438,"(453.07501220703125, 75.60106658935547, 485.08441162109375, 87.9656982421875)"
1,16/03/2010,Helvetica,8.99899959564209,508.1549987792969,85.27499389648438,"(508.1549987792969, 75.60106658935547, 553.185791015625, 87.9656982421875)"
1,5,Helvetica,8.99899959564209,577.8510131835938,85.27499389648438,"(577.8510131835938, 75.60106658935547, 582.8544311523438, 87.9656982421875)"
1,YES,Helvetica,8.99899959564209,634.4429931640625,85.27499389648438,"(634.4429931640625, 75.60106658935547, 652.449951171875, 87.9656982421875)"
1,NO,Helvetica,8.99899959564209,707.3070068359375,85.27499389648438,"(707.3070068359375, 75.60106658935547, 720.8054809570312, 87.9656982421875)"
1,140147,Helvetica,8.99899959564209,30.36199951171875,102.3389892578125,"(30.36199951171875, 92.6650619506836, 60.382667541503906, 105.02969360351562)"
1,HACKNEY,Helvetica,8.99899959564209,80.5459976196289,102.3389892578125,"(80.5459976196289, 92.6650619506836, 124.04716491699219, 105.02969360351562)"
1,06/02/2024,Helvetica,8.99899959564209,138.7949981689453,102.3389892578125,"(138.7949981689453, 92.6650619506836, 183.82603454589844, 105.02969360351562)"
