"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",make,vrm,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,page
169389,HACKNEY,26/10/2023,30/10/2024,246,FORD TOURNEO,MX72 XHK,DIESEL,11/10/2022,8,YES,NO,,3
170481,HACKNEY,27/12/2023,26/12/2024,247,RENAULT TRAFIC,BB06 FEB,DIESEL,01/12/2022,8,YES,NO,,3
174333,HACKNEY,27/06/2023,26/06/2024,249,"LEVC TX VISTA
COMFORT",LA69 AAZ,HYBRID,17/12/2019,6,YES,NO,,3
174505,HACKNEY,30/06/2023,29/06/2024,250,"LEVC TX VISTA
COMFORT",LL68 RRZ,HYBRID,14/12/2018,6,YES,NO,,3
174989,HACKNEY,22/08/2023,21/08/2024,251,VAUXHALL VIVARO,TT12 GAZ,DIESEL,25/11/2016,8,YES,NO,,3
177521,HACKNEY,01/02/2024,31/01/2025,252,"LONDON TAXIS INT
TX4 ELEGANCE",LP17 SNX,DIESEL,19/07/2017,5,YES,NO,,3
178340,HACKNEY,28/02/2024,27/02/2025,253,"VAUXHALL VIVARO
COMBI CDTI S/S",DV16 RHE,DIESEL,07/06/2016,8,YES,NO,,3
178760,HACKNEY,25/03/2024,24/03/2025,254,"VAUXHALL VIVARO
2900 COMBI",MJ18 UHO,DIESEL,19/04/2018,8,YES,NO,,3
149736,"PRIVATE
HIRE",26/02/2024,25/08/2024,2010,PEUGEOT 307 ACTIVE,OY65 CDF,DIESEL,22/09/2015,4,NO,NO,,3
134686,"PRIVATE
HIRE",16/11/2023,15/05/2024,2015,VAUXHALL ASTRA,BJ13 RXL,DIESEL,11/06/2013,4,NO,NO,,3
151186,"PRIVATE
HIRE",15/11/2023,14/05/2024,2028,PEUGEOT 307 ACCESS,BK65 LBL,DIESEL,23/11/2015,4,NO,NO,,3
135054,"PRIVATE
HIRE",02/01/2024,03/07/2024,2030,RENAULT MEGANE,AK63 UDB,DIESEL,31/01/2014,4,NO,NO,,3
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,4
138315,"PRIVATE
HIRE",19/10/2023,12/05/2024,2031,TOYOTA VERSO,AF14 ZZN,DIESEL,22/04/2014,6,NO,NO,,4
128359,"PRIVATE
HIRE",29/02/2024,28/08/2024,2034,SEAT TOLEDO,CU16 GVD,DIESEL,28/04/2016,4,NO,NO,,4
141332,"PRIVATE
HIRE",22/11/2023,21/05/2024,2037,RENAULT MEGANE,YG14 DYX,DIESEL,31/03/2014,4,NO,NO,,4
146208,"PRIVATE
HIRE",27/02/2024,26/08/2024,2051,CITROEN C4,FE65 KZC,DIESEL,03/09/2015,6,NO,NO,,4
137125,"PRIVATE
HIRE",25/10/2023,24/04/2024,2055,RENAULT MEGANE,DN63 VKK,DIESEL,31/12/2013,4,NO,NO,,4
141486,"PRIVATE
HIRE",27/12/2023,26/06/2024,2060,RENAULT MEGANE,SE15 GVL,DIESEL,30/06/2015,4,NO,NO,,4
122986,"PRIVATE
HIRE",29/01/2024,28/07/2024,2061,SEAT TOLEDO,MK65 YRU,DIESEL,01/09/2015,4,NO,NO,,4
139524,"PRIVATE
HIRE",07/11/2023,02/06/2024,2063,TOYOTA AVENSIS,CX64 LZA,DIESEL,15/09/2014,4,NO,NO,,4
140628,"PRIVATE
HIRE",22/11/2023,25/05/2024,2064,VW SHARAN,GF14 DAO,DIESEL,20/03/2014,6,NO,NO,,4
149621,"PRIVATE
HIRE",07/02/2024,08/08/2024,2076,"TOYOTA AURIS EXCEL
VVT-I",FP65 XDN,HYBRID,01/11/2015,4,NO,NO,,4
140591,"PRIVATE
HIRE",27/02/2024,26/08/2024,2077,RENAULT MEGANE,LY15 FWD,DIESEL,30/06/2015,4,NO,NO,,4
150968,"PRIVATE
HIRE",27/03/2024,26/09/2024,2080,TOYOTA AURIS B-ED,FN66 FCO,HYBRID,05/09/2016,4,NO,NO,,4
145227,"PRIVATE
HIRE",27/11/2023,27/05/2024,2083,TOYOTA PRIUS,MK18 MYP,HYBRID,28/03/2018,6,NO,NO,,4
115638,"PRIVATE
HIRE",17/11/2023,16/05/2024,2086,"PEUGEOT EXPERT
TEPEE",PX60 FFV,DIESEL,31/12/2010,8,NO,NO,,4
149531,"PRIVATE
HIRE",29/12/2023,28/06/2024,2087,SKODA OCTAVIA,GD18 VOJ,DIESEL,07/06/2018,4,NO,NO,,4
122987,"PRIVATE
HIRE",30/10/2023,29/04/2024,2096,SEAT TOLEDO,MK65 YRW,DIESEL,16/09/2015,4,NO,NO,,4
122988,"PRIVATE
HIRE",17/11/2023,16/05/2024,2100,SEAT TOLEDO,MK65 YRX,DIESEL,17/09/2015,4,NO,NO,,4
117603,"PRIVATE
HIRE",17/11/2023,16/05/2024,2104,SEAT TOLEDO,MT64 NGG,DIESEL,19/11/2014,4,NO,NO,,4
149374,"PRIVATE
HIRE",22/02/2024,21/08/2024,2105,"DACIA LOGAN MCV
AMBIANCE",MC15 AOR,DIESEL,31/07/2015,4,NO,NO,,4
139606,"PRIVATE
HIRE",08/02/2024,07/08/2024,2117,RENAULT MEGANE,BN14 GYZ,DIESEL,30/04/2014,4,NO,NO,,4
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,5
145620,"PRIVATE
HIRE",04/12/2023,07/06/2024,2118,VAUXHALL ASTRA,NK17 YDH,DIESEL,01/03/2017,4,NO,NO,,5
130176,"PRIVATE
HIRE",11/04/2024,10/10/2024,2120,SKODA OCTAVIA,SG13 CEO,DIESEL,20/05/2015,4,NO,NO,,5
143451,"PRIVATE
HIRE",06/02/2024,08/08/2024,2122,VAUXHALL ZAFIRA,GU64 XOY,DIESEL,07/10/2014,6,NO,NO,,5
122763,"PRIVATE
HIRE",20/02/2024,19/08/2024,2124,SEAT TOLEDO,MV65 XFF,DIESEL,01/09/2015,4,NO,NO,,5
141607,"PRIVATE
HIRE",15/04/2024,10/11/2024,2127,SKODA OCTAVIA,DE16 OKD,DIESEL,31/03/2016,4,NO,NO,,5
148906,"PRIVATE
HIRE",18/01/2024,17/07/2024,2128,"RENAULT MEGANE
DYNAMIQUE",MW16 ZYL,DIESEL,29/07/2016,4,NO,NO,,5
134999,"PRIVATE
HIRE",16/11/2023,22/05/2024,2129,VAUXHALL ASTRA,FG63 UKA,DIESEL,28/11/2013,4,NO,NO,,5
143447,"PRIVATE
HIRE",06/11/2023,05/05/2024,2133,RENAULT MEGANE,WR64 BFY,DIESEL,30/11/2014,4,NO,NO,,5
150893,"PRIVATE
HIRE",09/04/2024,08/10/2024,2136,SKODA OCTAVIA,BK66 CCA,DIESEL,08/09/2016,4,NO,NO,,5
138734,"PRIVATE
HIRE",02/11/2023,10/05/2024,2138,MERCEDES BENZ,KT16 RKE,DIESEL,30/06/2016,8,NO,NO,,5
150999,"PRIVATE
HIRE",12/04/2024,19/10/2024,2139,SKODA OCTAVIA,CA65 UDM,DIESEL,10/02/2016,4,NO,NO,,5
151070,"PRIVATE
HIRE",22/03/2024,21/09/2024,2145,VAUXHALL VIVARO,MA14 ATZ,DIESEL,11/03/2014,8,NO,NO,,5
150923,"PRIVATE
HIRE",18/04/2024,24/10/2024,2148,HYUNDAI IONIQ SE,HV68 ZJX,HYBRID,30/09/2018,4,NO,NO,,5
133533,"PRIVATE
HIRE",13/03/2024,27/09/2024,2154,FIAT DOBLO,NV14 BXY,DIESEL,16/05/2014,4,NO,NO,,5
148435,"PRIVATE
HIRE",14/02/2024,13/08/2024,2164,RENAULT MEGANE,ML15 UKN,DIESEL,10/06/2015,4,NO,NO,,5
143271,"PRIVATE
HIRE",07/03/2024,17/09/2024,2171,"SKODA OCTAVIA SE
TDI",BL14 MVJ,DIESEL,14/07/2014,4,NO,NO,,5
126916,"PRIVATE
HIRE",26/02/2024,09/09/2024,2172,RENAULT TRAFIC,YD16 MMX,DIESEL,08/03/2016,8,NO,NO,,5
137334,"PRIVATE
HIRE",13/11/2023,12/05/2024,2173,SKODA OCTAVIA,YW16 RDY,DIESEL,30/07/2016,4,NO,NO,,5
122993,"PRIVATE
HIRE",26/01/2024,25/07/2024,2177,SEAT TOLEDO,MK65 YRZ,DIESEL,01/09/2015,4,NO,NO,,5
130624,"PRIVATE
HIRE",07/11/2023,06/05/2024,2178,FIAT SCUDO,WM13 FCE,DIESEL,11/06/2013,8,NO,NO,,5
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,6
117560,"PRIVATE
HIRE",09/02/2024,08/08/2024,2182,SEAT TOLEDO,MT64 NGJ,DIESEL,18/11/2014,4,NO,NO,,6
148526,"PRIVATE
HIRE",13/12/2023,12/06/2024,2183,RENAULT MEGANE,PN16 MJK,DIESEL,07/03/2016,4,NO,NO,,6
135056,"PRIVATE
HIRE",04/12/2023,08/06/2024,2193,TOYOTA AURIS,KY14 BYS,HYBRID,15/04/2014,4,NO,NO,,6
139886,"PRIVATE
HIRE",07/02/2024,06/08/2024,2202,RENAULT MEGANE,BN14 GXC,DIESEL,23/04/2014,4,NO,NO,,6
152040,"PRIVATE
HIRE",27/11/2023,04/06/2024,2208,PEUGEOT,KM16 GBU,DIESEL,16/11/2016,4,NO,NO,,6
150959,"PRIVATE
HIRE",26/02/2024,18/09/2024,2212,MERCEDES BENZ,KS65 HTF,DIESEL,27/01/2016,4,NO,NO,,6
146827,"PRIVATE
HIRE",26/01/2024,25/07/2024,2217,TOYOTA AURIS,LV66 HWM,HYBRID,14/10/2016,4,NO,NO,,6
140220,"PRIVATE
HIRE",04/03/2024,03/09/2024,2220,RENAULT MEGANE,LX14 NTM,DIESEL,12/03/2014,4,NO,NO,,6
140767,"PRIVATE
HIRE",12/02/2024,25/08/2024,2223,SKODA OCTAVIA,SF66 VKL,DIESEL,01/09/2016,4,NO,NO,,6
122762,"PRIVATE
HIRE",01/12/2023,31/05/2024,2225,SEAT TOLEDO,MV65 XFJ,DIESEL,01/09/2015,4,NO,NO,,6
122764,"PRIVATE
HIRE",27/11/2023,26/05/2024,2235,SEAT TOLEDO,MV65 XFK,DIESEL,01/09/2015,4,NO,NO,,6
148552,"PRIVATE
HIRE",29/11/2023,28/05/2024,2242,"SEAT LEON SE
DYNAMIC",BA66 EAG,DIESEL,31/01/2017,4,NO,NO,,6
138306,"PRIVATE
HIRE",13/02/2024,16/08/2024,2243,SKODA SUPERB,MT67 MXJ,DIESEL,09/11/2017,4,NO,NO,,6
146890,"PRIVATE
HIRE",19/01/2024,30/07/2024,2245,VW SHARAN,DP15 ULS,DIESEL,31/07/2015,6,NO,NO,,6
143462,"PRIVATE
HIRE",19/01/2024,31/07/2024,2251,KIA CEED,LD15 TUH,DIESEL,13/05/2015,4,NO,NO,,6
136364,"PRIVATE
HIRE",26/01/2024,02/08/2024,2276,MERCEDES BENZ,BO55 XEC,DIESEL,09/04/2015,4,NO,NO,YES,6
143270,"PRIVATE
HIRE",15/12/2023,16/06/2024,2278,FORD GRAND C-MAX,WO16 CKJ,DIESEL,09/08/2016,6,NO,NO,,6
154586,"PRIVATE
HIRE",10/11/2023,09/05/2024,2280,TOYOTA AURIS,KV66 FPO,HYBRID,27/09/2016,4,NO,NO,,6
135217,"PRIVATE
HIRE",16/01/2024,17/07/2024,2282,RENAULT MEGANE,DV14 ZXZ,DIESEL,29/04/2014,4,NO,NO,,6
147057,"PRIVATE
HIRE",12/02/2024,12/08/2024,2283,MERCEDES VITO,WR16 UEA,DIESEL,27/04/2016,8,NO,NO,,6
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,7
147024,"PRIVATE
HIRE",29/01/2024,05/08/2024,2288,TOYOTA PRIUS,MJ65 ROH,HYBRID,09/11/2015,4,NO,NO,,7
143385,"PRIVATE
HIRE",15/02/2024,14/08/2024,2296,RENAULT MEGANE,BL14 LFR,DIESEL,15/08/2014,4,NO,NO,,7
147086,"PRIVATE
HIRE",28/02/2024,14/09/2024,2322,"SKODA OCTAVIA SE L
TDI",DF65 EHZ,DIESEL,26/10/2015,4,NO,NO,,7
138255,"PRIVATE
HIRE",28/03/2024,04/10/2024,2325,SKODA OCTAVIA,YR14 VVP,DIESEL,31/03/2014,4,NO,NO,,7
122765,"PRIVATE
HIRE",25/10/2023,24/04/2024,2328,SEAT TOLEDO,MV65 XFN,DIESEL,01/09/2015,4,NO,NO,,7
147186,"PRIVATE
HIRE",15/01/2024,09/08/2024,2334,"SKODA OCTAVIA VRS
TDI",BN66 GJJ,DIESEL,20/09/2016,4,NO,NO,,7
147220,"PRIVATE
HIRE",06/02/2024,29/08/2024,2341,SKODA RAPID,DF15 KKR,DIESEL,29/06/2015,4,NO,NO,,7
139734,"PRIVATE
HIRE",09/02/2024,08/08/2024,2342,RENAULT MEGANE,BL14 NWX,DIESEL,31/07/2014,4,NO,NO,,7
138304,"PRIVATE
HIRE",31/10/2023,15/05/2024,2352,VAUXHALL VIVARO,YL14 VMG,DIESEL,31/07/2014,8,NO,NO,,7
117655,"PRIVATE
HIRE",22/12/2023,29/06/2024,2356,SEAT TOLEDO,MT64 VMC,DIESEL,26/11/2014,4,NO,NO,,7
148158,"PRIVATE
HIRE",08/11/2023,07/05/2024,2365,PEUGEOT 308 ACTIVE,AK66 RHO,DIESEL,22/02/2017,4,NO,NO,,7
135742,"PRIVATE
HIRE",16/01/2024,28/07/2024,2384,SKODA OCTAVIA,YK63 CGV,DIESEL,16/09/2013,4,NO,NO,,7
122881,"PRIVATE
HIRE",14/03/2024,13/09/2024,2391,SEAT TOLEDO,MV65 XFT,DIESEL,01/09/2015,4,NO,NO,,7
147280,"PRIVATE
HIRE",20/12/2023,19/06/2024,2403,FORD MONDEO,YF15 UMH,DIESEL,29/05/2015,4,NO,NO,YES,7
135274,"PRIVATE
HIRE",28/12/2023,27/06/2024,2410,HYUNDAI I40,KW17 YRC,DIESEL,12/06/2017,4,NO,NO,,7
151334,"PRIVATE
HIRE",02/04/2024,07/10/2024,2411,"HYUNDAI IONIQ
PREMIUM",EJ18 FEP,HYBRID,27/04/2018,4,NO,NO,,7
136063,"PRIVATE
HIRE",01/03/2024,31/08/2024,2414,RENAULT MEGANE,BV15 UYB,DIESEL,31/03/2015,4,NO,NO,,7
114481,"PRIVATE
HIRE",05/01/2024,10/07/2024,2416,PEUGEOT E7,SF11 FVZ,DIESEL,14/04/2011,7,NO,NO,,7
143630,"PRIVATE
HIRE",05/03/2024,27/09/2024,2418,"TOYOTA AURIS BNES
ED",WG65 AXK,HYBRID,28/09/2015,4,NO,NO,,7
149980,"PRIVATE
HIRE",21/02/2024,26/08/2024,2419,TOYOTA PRIUS,ME19 ONA,HYBRID,31/07/2019,4,NO,NO,,7
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,8
150930,"PRIVATE
HIRE",19/03/2024,18/09/2024,2422,"RENAULT MEGANE
EXPRESSION",BU16 EXZ,DIESEL,30/03/2016,4,NO,NO,,8
149127,"PRIVATE
HIRE",29/12/2023,13/07/2024,2425,FORD GRAND C-MAX,MV65 ZJO,DIESEL,01/09/2015,6,NO,NO,,8
141777,"PRIVATE
HIRE",16/11/2023,05/06/2024,2426,RENAULT MEGANE,BK64 HTO,DIESEL,31/10/2014,4,NO,NO,,8
149372,"PRIVATE
HIRE",05/02/2024,04/08/2024,2428,PEUGEOT 308,MK16 TCY,DIESEL,31/03/2016,4,NO,NO,,8
141776,"PRIVATE
HIRE",05/01/2024,04/07/2024,2429,RENAULT MEGANE,BG64 UUN,DIESEL,28/11/2014,4,NO,NO,,8
141358,"PRIVATE
HIRE",06/12/2023,05/06/2024,2435,RENAULT MEGANE,BF64 GNY,DIESEL,12/09/2014,4,NO,NO,,8
150824,"PRIVATE
HIRE",12/01/2024,11/07/2024,2437,VAUXHALL VIVARO,DU16 YPA,DIESEL,29/07/2016,8,NO,NO,,8
135290,"PRIVATE
HIRE",25/01/2024,24/07/2024,2443,"SKODA OCTAVIA
ELEGANCE",DA14 ZNJ,DIESEL,01/07/2014,4,NO,NO,,8
143778,"PRIVATE
HIRE",12/04/2024,11/10/2024,2451,RENAULT MEGANE,MF15 PZC,DIESEL,17/03/2015,4,NO,NO,,8
151224,"PRIVATE
HIRE",21/12/2023,20/06/2024,2460,SKODA OCTAVIA,DC65 PWF,DIESEL,10/12/2015,4,NO,NO,,8
116357,"PRIVATE
HIRE",02/02/2024,23/08/2024,2461,MERCEDES VITO,DK14 YDR,DIESEL,26/02/2014,8,NO,NO,YES,8
141650,"PRIVATE
HIRE",14/03/2024,20/09/2024,2475,"SKODA OCTAVIA SE
BUSINESS",FN15 GHZ,DIESEL,15/04/2018,4,NO,NO,,8
128360,"PRIVATE
HIRE",06/03/2024,05/09/2024,2476,SEAT TOLEDO,CV16 YSE,DIESEL,28/04/2016,4,NO,NO,,8
147314,"PRIVATE
HIRE",22/03/2024,21/09/2024,2477,"RENAULT MEGANE
EXPR-N",BU15 YMY,DIESEL,18/03/2015,4,NO,NO,,8
